"Meltpond.index","lat","lon","B08.NIR","B04.red","B03.green","B02.blue","depth_value","depth_sd","Sentinel.Time","IceSat.Time"
1,82.3101779222598,-58.2115186107528,3024,4264,6672,7636,-0.958996620059542,0.240164712978453,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3100886525396,-58.2115739868575,1439,2568,4712,5932,-1.40260676981125,0.242186768968117,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3099993828117,-58.2116293616727,1244,1992,4248,5224,-1.65376815467929,0.245859812179538,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3099101130763,-58.2116847351985,1272,1946,4204,5420,-1.94420699643979,0.245170388039553,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3098208433333,-58.211740107435,1180,2152,4976,6160,-1.97478948347421,0.25289923815948,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3098282531782,-58.212407134272,1180,2210,5100,6524,-2.02977893736074,0.261770027327163,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3097389833405,-58.2124624975777,1209,2312,5236,6412,-2.09573287804941,0.246509797614646,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3096497134953,-58.2125178595943,1200,2354,4976,6284,-2.26838730244519,0.244963814679938,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3095604436424,-58.2125732203219,2436,4030,5976,6968,-1.70060685054006,0.250965997564581,"2019-06-22 19:49:09","2019-06-22 20:22:51"
2,82.2801684070315,-58.497367538067,1288,2754,5444,6592,-1.02422139741289,0.229759726531316,"2019-06-22 19:49:09","2019-06-22 20:22:51"
2,82.280079100992,-58.497419410637,1237,2766,5472,6556,-1.33439983823309,0.230314526235215,"2019-06-22 19:49:09","2019-06-22 20:22:51"
2,82.2799897949458,-58.4974712820033,1286,2676,5120,6260,-1.45915139511015,0.225212022961608,"2019-06-22 19:49:09","2019-06-22 20:22:51"
2,82.2799004888928,-58.497523152166,1394,2826,5232,6108,-0.861060148804714,0.233409655515245,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.310957120899,-58.2160308824443,5784,6904,7900,8672,-0.474486231192734,0.215947471815199,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3108678505934,-58.216086212162,2382,3828,5876,6684,-0.489786164299156,0.227523553010923,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3107785802803,-58.2161415405912,1414,2810,4944,5832,-0.692206398173166,0.218036750299316,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3106893099595,-58.2161968677319,1222,2634,4724,5372,-1.01765848051977,0.224443873975633,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3106000396312,-58.2162521935842,1228,2290,4524,5408,-1.16274656971655,0.235064966317318,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3106074425232,-58.216919291996,1261,2312,4508,5552,-1.19957594122338,0.260285402272855,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3105181721003,-58.2169746089167,1204,2052,4304,5232,-1.23192786257542,0.264441559367818,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3104289016699,-58.2170299245493,1187,1973,4268,5244,-1.26173332586827,0.205806787619024,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3103396312319,-58.2170852388938,1188,2136,4628,5660,-0.99515635154262,0.232493658893943,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3102503607862,-58.2171405519502,1220,2428,5164,6264,-0.80371962614461,0.211272881681865,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.310161090333,-58.2171958637186,1284,2544,5332,6424,-0.652746973259783,0.230699876866722,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.3100718198723,-58.217251174199,1378,2848,5384,6328,-0.543588891354753,0.208662341849285,"2019-06-22 19:49:09","2019-06-22 20:22:51"
4,82.310079221213,-58.2179182280416,1690,3438,5796,6712,-0.540056273884154,0.2035704913485,"2019-06-22 19:49:09","2019-06-22 20:22:51"
