"Meltpond.index","lat","lon","B08.NIR","B04.red","B03.green","B02.blue","depth_value","depth_sd","NIR.le","Red.le","Green.le","Blue.le","NIR.ri","Red.ri","Green.ri","Blue.ri","NIR.up","Red.up","Green.up","Blue.up","NIR.do","Red.do","Green.do","Blue.do","NIR.up.le","Red.up.le","Green.up.le","Blue.up.le","NIR.up.ri","Red.up.ri","Green.up.ri","Blue.up.ri","NIR.do.le","Red.do.le","Green.do.le","Blue.do.le","NIR.do.ri","Red.do.ri","Green.do.ri","Blue.do.ri","Sentinel.Time","IceSat.Time"
1,82.3101779222598,-58.2115186107528,3024,4264,6672,7636,-0.958996620059542,0.240164712978453,1776,2906,5496,6380,4432,5788,7444,7900,6684,7808,8864,9544,1439,2568,4712,5932,4484,5784,7524,8240,7640,8584,9272,9648,1286,2158,4492,5736,1418,2902,5196,6112,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3100886525396,-58.2115739868575,1439,2568,4712,5932,-1.40260676981125,0.242186768968117,1286,2158,4492,5736,1418,2902,5196,6112,3024,4264,6672,7636,1244,1992,4248,5224,1776,2906,5496,6380,4432,5788,7444,7900,1275,1874,4168,5204,1307,2450,4828,5708,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3099993828117,-58.2116293616727,1244,1992,4248,5224,-1.65376815467929,0.245859812179538,1275,1874,4168,5204,1307,2450,4828,5708,1439,2568,4712,5932,1272,1946,4204,5420,1286,2158,4492,5736,1418,2902,5196,6112,1238,1954,4296,5604,1247,2074,4436,5676,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3099101130763,-58.2116847351985,1272,1946,4204,5420,-1.94420699643979,0.245170388039553,1238,1954,4296,5604,1247,2074,4436,5676,1244,1992,4248,5224,1180,2152,4976,6160,1275,1874,4168,5204,1307,2450,4828,5708,1180,2210,5100,6524,1198,2072,4796,5868,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3098208433333,-58.211740107435,1180,2152,4976,6160,-1.97478948347421,0.25289923815948,1180,2210,5100,6524,1198,2072,4796,5868,1272,1946,4204,5420,1220,2208,5076,6312,1238,1954,4296,5604,1247,2074,4436,5676,1209,2312,5236,6412,1195,2134,4704,5952,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3098282531782,-58.212407134272,1180,2210,5100,6524,-2.02977893736074,0.261770027327163,1196,1882,4524,5688,1180,2152,4976,6160,1238,1954,4296,5604,1209,2312,5236,6412,1231,1772,4204,5332,1272,1946,4204,5420,1209,2048,4444,5664,1220,2208,5076,6312,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3097389833405,-58.2124624975777,1209,2312,5236,6412,-2.09573287804941,0.246509797614646,1209,2048,4444,5664,1220,2208,5076,6312,1180,2210,5100,6524,1200,2354,4976,6284,1196,1882,4524,5688,1180,2152,4976,6160,1136,2302,4860,6084,1205,2224,4728,5960,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3096497134953,-58.2125178595943,1200,2354,4976,6284,-2.26838730244519,0.244963814679938,1136,2302,4860,6084,1205,2224,4728,5960,1209,2312,5236,6412,2436,4030,5976,6968,1209,2048,4444,5664,1220,2208,5076,6312,2060,3600,6088,6868,1977,3374,5412,6248,"2019-06-22 19:49:09","2019-06-22 20:22:51"
1,82.3095604436424,-58.2125732203219,2436,4030,5976,6968,-1.70060685054006,0.250965997564581,2060,3600,6088,6868,1977,3374,5412,6248,1200,2354,4976,6284,5748,7372,8336,9144,1136,2302,4860,6084,1205,2224,4728,5960,5204,6880,7920,8696,3876,5192,6904,7468,"2019-06-22 19:49:09","2019-06-22 20:22:51"
2,82.280079100992,-58.497419410637,1237,2766,5472,6556,-1.33439983823309,0.230314526235215,1240,2960,5608,6708,1414,3410,6128,7148,1288,2754,5444,6592,1286,2676,5120,6260,1220,2680,5444,6776,1458,3304,6200,7284,1272,2740,5196,6184,1398,2986,5716,6444,"2019-06-22 19:49:09","2019-06-22 20:22:51"
