Meltpond_ID,xs_drift,ys_drift
1,-0.0032721772485652,-0.0001162290328629
2,-0.0032308211164453,-0.0001460464665912
3,-0.0032971895702169,-0.000178494943298
4,-0.0031385878100092,-0.0022210428029374
5,-0.0021473932910749,-0.0002510805464105
7,-0.0032330869457603,-0.0001781038365092
8,-0.0011160817844106,-0.0011936038265737
9,-0.0032350596687615,-0.0010500670366109
10,-0.0021103225331195,-0.0022698225878374
11,-0.0031117324629331,-9.897866522814826e-05
12,-0.0032097903769094,-0.0003661175741068
13,-0.0023233460860365,-0.0023968896647586
14,-0.0021376239652308,5.101299781607866e-06
15,3.348806621128775e-06,-0.0002729442909922
16,-0.0022119906307239,-0.0011076419307101
17,-0.002149349811435,-0.0002731483015886
