Meltpond index,lat,lon,B08 NIR,B04 red,B03 green,B02 blue,depth_value,depth_sd,NIR le,Red le,Green le,Blue le,NIR ri,Red ri,Green ri,Blue ri,NIR up,Red up,Green up,Blue up,NIR do,Red do,Green do,Blue do,NIR up le,Red up le,Green up le,Blue up le,NIR up ri,Red up ri,Green up ri,Blue up ri,NIR do le,Red do le,Green do le,Blue do le,NIR do ri,Red do ri,Green do ri,Blue do ri,Sentinel Time,IceSat Time
1.0,82.31017792225984,-58.21151861075282,3024.0,4264.0,6672.0,7636.0,-0.9589966200595422,0.24016471297845335,1776.0,2906.0,5496.0,6380.0,4432.0,5788.0,7444.0,7900.0,6684.0,7808.0,8864.0,9544.0,1439.0,2568.0,4712.0,5932.0,4484.0,5784.0,7524.0,8240.0,7640.0,8584.0,9272.0,9648.0,1286.0,2158.0,4492.0,5736.0,1418.0,2902.0,5196.0,6112.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.31008865253958,-58.211573986857495,1439.0,2568.0,4712.0,5932.0,-1.4026067698112514,0.24218676896811722,1286.0,2158.0,4492.0,5736.0,1418.0,2902.0,5196.0,6112.0,3024.0,4264.0,6672.0,7636.0,1244.0,1992.0,4248.0,5224.0,1776.0,2906.0,5496.0,6380.0,4432.0,5788.0,7444.0,7900.0,1275.0,1874.0,4168.0,5204.0,1307.0,2450.0,4828.0,5708.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.30999938281174,-58.21162936167273,1244.0,1992.0,4248.0,5224.0,-1.653768154679294,0.24585981217953812,1275.0,1874.0,4168.0,5204.0,1307.0,2450.0,4828.0,5708.0,1439.0,2568.0,4712.0,5932.0,1272.0,1946.0,4204.0,5420.0,1286.0,2158.0,4492.0,5736.0,1418.0,2902.0,5196.0,6112.0,1238.0,1954.0,4296.0,5604.0,1247.0,2074.0,4436.0,5676.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.3099101130763,-58.21168473519853,1272.0,1946.0,4204.0,5420.0,-1.944206996439792,0.245170388039553,1238.0,1954.0,4296.0,5604.0,1247.0,2074.0,4436.0,5676.0,1244.0,1992.0,4248.0,5224.0,1180.0,2152.0,4976.0,6160.0,1275.0,1874.0,4168.0,5204.0,1307.0,2450.0,4828.0,5708.0,1180.0,2210.0,5100.0,6524.0,1198.0,2072.0,4796.0,5868.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.30982084333328,-58.21174010743502,1180.0,2152.0,4976.0,6160.0,-1.9747894834742106,0.25289923815947984,1180.0,2210.0,5100.0,6524.0,1198.0,2072.0,4796.0,5868.0,1272.0,1946.0,4204.0,5420.0,1220.0,2208.0,5076.0,6312.0,1238.0,1954.0,4296.0,5604.0,1247.0,2074.0,4436.0,5676.0,1209.0,2312.0,5236.0,6412.0,1195.0,2134.0,4704.0,5952.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.30982825317815,-58.21240713427205,1180.0,2210.0,5100.0,6524.0,-2.0297789373607413,0.2617700273271626,1196.0,1882.0,4524.0,5688.0,1180.0,2152.0,4976.0,6160.0,1238.0,1954.0,4296.0,5604.0,1209.0,2312.0,5236.0,6412.0,1231.0,1772.0,4204.0,5332.0,1272.0,1946.0,4204.0,5420.0,1209.0,2048.0,4444.0,5664.0,1220.0,2208.0,5076.0,6312.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.30973898334051,-58.21246249757774,1209.0,2312.0,5236.0,6412.0,-2.0957328780494056,0.24650979761464645,1209.0,2048.0,4444.0,5664.0,1220.0,2208.0,5076.0,6312.0,1180.0,2210.0,5100.0,6524.0,1200.0,2354.0,4976.0,6284.0,1196.0,1882.0,4524.0,5688.0,1180.0,2152.0,4976.0,6160.0,1136.0,2302.0,4860.0,6084.0,1205.0,2224.0,4728.0,5960.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.30964971349526,-58.212517859594335,1200.0,2354.0,4976.0,6284.0,-2.2683873024451926,0.244963814679938,1136.0,2302.0,4860.0,6084.0,1205.0,2224.0,4728.0,5960.0,1209.0,2312.0,5236.0,6412.0,2436.0,4030.0,5976.0,6968.0,1209.0,2048.0,4444.0,5664.0,1220.0,2208.0,5076.0,6312.0,2060.0,3600.0,6088.0,6868.0,1977.0,3374.0,5412.0,6248.0,2019-06-22 19:49:09,2019-06-22 20:22:51
1.0,82.3095604436424,-58.21257322032187,2436.0,4030.0,5976.0,6968.0,-1.7006068505400562,0.25096599756458116,2060.0,3600.0,6088.0,6868.0,1977.0,3374.0,5412.0,6248.0,1200.0,2354.0,4976.0,6284.0,5748.0,7372.0,8336.0,9144.0,1136.0,2302.0,4860.0,6084.0,1205.0,2224.0,4728.0,5960.0,5204.0,6880.0,7920.0,8696.0,3876.0,5192.0,6904.0,7468.0,2019-06-22 19:49:09,2019-06-22 20:22:51
2.0,82.28016840703152,-58.497367538066975,1288.0,2754.0,5444.0,6592.0,-1.0242213974128918,0.22975972653131602,1220.0,2680.0,5444.0,6776.0,1458.0,3304.0,6200.0,7284.0,0.0,0.0,0.0,0.0,1237.0,2766.0,5472.0,6556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.0,2960.0,5608.0,6708.0,1414.0,3410.0,6128.0,7148.0,2019-06-22 19:49:09,2019-06-22 20:22:51
2.0,82.280079100992,-58.49741941063699,1237.0,2766.0,5472.0,6556.0,-1.3343998382330855,0.2303145262352149,1240.0,2960.0,5608.0,6708.0,1414.0,3410.0,6128.0,7148.0,1288.0,2754.0,5444.0,6592.0,1286.0,2676.0,5120.0,6260.0,1220.0,2680.0,5444.0,6776.0,1458.0,3304.0,6200.0,7284.0,1272.0,2740.0,5196.0,6184.0,1398.0,2986.0,5716.0,6444.0,2019-06-22 19:49:09,2019-06-22 20:22:51
2.0,82.2799897949458,-58.49747128200332,1286.0,2676.0,5120.0,6260.0,-1.459151395110154,0.22521202296160844,1272.0,2740.0,5196.0,6184.0,1398.0,2986.0,5716.0,6444.0,1237.0,2766.0,5472.0,6556.0,1394.0,2826.0,5232.0,6108.0,1240.0,2960.0,5608.0,6708.0,1414.0,3410.0,6128.0,7148.0,2566.0,3702.0,5704.0,6280.0,1319.0,3030.0,5444.0,6336.0,2019-06-22 19:49:09,2019-06-22 20:22:51
2.0,82.27990048889284,-58.49752315216601,1394.0,2826.0,5232.0,6108.0,-0.8610601488047139,0.23340965551524545,2566.0,3702.0,5704.0,6280.0,1319.0,3030.0,5444.0,6336.0,1286.0,2676.0,5120.0,6260.0,1824.0,3254.0,5592.0,6248.0,1272.0,2740.0,5196.0,6184.0,1398.0,2986.0,5716.0,6444.0,5308.0,6392.0,7320.0,7748.0,1487.0,3370.0,5668.0,6508.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31095712089902,-58.21603088244431,5784.0,6904.0,7900.0,8672.0,-0.47448623119273436,0.21594747181519858,5480.0,6504.0,7932.0,8408.0,6292.0,6936.0,8064.0,8528.0,7496.0,8632.0,8928.0,9264.0,2382.0,3828.0,5876.0,6684.0,7248.0,8296.0,8808.0,9224.0,7528.0,8408.0,8992.0,9160.0,2494.0,4002.0,6396.0,7248.0,3786.0,5252.0,6780.0,7344.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31086785059344,-58.21608621216199,2382.0,3828.0,5876.0,6684.0,-0.4897861642991564,0.22752355301092295,2494.0,4002.0,6396.0,7248.0,3786.0,5252.0,6780.0,7344.0,5784.0,6904.0,7900.0,8672.0,1414.0,2810.0,4944.0,5832.0,5480.0,6504.0,7932.0,8408.0,6292.0,6936.0,8064.0,8528.0,1461.0,3096.0,5492.0,6332.0,2216.0,3482.0,5596.0,6492.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31077858028029,-58.21614154059117,1414.0,2810.0,4944.0,5832.0,-0.6922063981731659,0.21803675029931605,1461.0,3096.0,5492.0,6332.0,2216.0,3482.0,5596.0,6492.0,2382.0,3828.0,5876.0,6684.0,1222.0,2634.0,4724.0,5372.0,2494.0,4002.0,6396.0,7248.0,3786.0,5252.0,6780.0,7344.0,1284.0,2584.0,4932.0,5784.0,1483.0,2714.0,5080.0,6060.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.3106893099595,-58.21619686773192,1222.0,2634.0,4724.0,5372.0,-1.0176584805197706,0.22444387397563323,1284.0,2584.0,4932.0,5784.0,1483.0,2714.0,5080.0,6060.0,1414.0,2810.0,4944.0,5832.0,1228.0,2290.0,4524.0,5408.0,1461.0,3096.0,5492.0,6332.0,2216.0,3482.0,5596.0,6492.0,1261.0,2312.0,4508.0,5552.0,1290.0,2500.0,5008.0,6004.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31060003963117,-58.21625219358424,1228.0,2290.0,4524.0,5408.0,-1.162746569716553,0.2350649663173177,1261.0,2312.0,4508.0,5552.0,1290.0,2500.0,5008.0,6004.0,1222.0,2634.0,4724.0,5372.0,1269.0,2138.0,4284.0,5376.0,1284.0,2584.0,4932.0,5784.0,1483.0,2714.0,5080.0,6060.0,1204.0,2052.0,4304.0,5232.0,1277.0,2356.0,4804.0,5872.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31060744252319,-58.21691929199599,1261.0,2312.0,4508.0,5552.0,-1.1995759412233755,0.2602854022728547,1196.0,2512.0,5008.0,6096.0,1228.0,2290.0,4524.0,5408.0,1284.0,2584.0,4932.0,5784.0,1204.0,2052.0,4304.0,5232.0,1236.0,2730.0,5276.0,6272.0,1222.0,2634.0,4724.0,5372.0,1186.0,2330.0,4808.0,5952.0,1269.0,2138.0,4284.0,5376.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31051817210033,-58.21697460891672,1204.0,2052.0,4304.0,5232.0,-1.2319278625754189,0.264441559367818,1186.0,2330.0,4808.0,5952.0,1269.0,2138.0,4284.0,5376.0,1261.0,2312.0,4508.0,5552.0,1187.0,1973.0,4268.0,5244.0,1196.0,2512.0,5008.0,6096.0,1228.0,2290.0,4524.0,5408.0,1177.0,2112.0,4484.0,5644.0,1233.0,2096.0,4328.0,5332.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.3104289016699,-58.21702992454928,1187.0,1973.0,4268.0,5244.0,-1.2617333258682724,0.20580678761902416,1177.0,2112.0,4484.0,5644.0,1233.0,2096.0,4328.0,5332.0,1204.0,2052.0,4304.0,5232.0,1188.0,2136.0,4628.0,5660.0,1186.0,2330.0,4808.0,5952.0,1269.0,2138.0,4284.0,5376.0,1168.0,2142.0,4684.0,5840.0,1197.0,2114.0,4488.0,5624.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31033963123187,-58.21708523889375,1188.0,2136.0,4628.0,5660.0,-0.9951563515426196,0.23249365889394277,1168.0,2142.0,4684.0,5840.0,1197.0,2114.0,4488.0,5624.0,1187.0,1973.0,4268.0,5244.0,1220.0,2428.0,5164.0,6264.0,1177.0,2112.0,4484.0,5644.0,1233.0,2096.0,4328.0,5332.0,1210.0,2578.0,5312.0,6244.0,1193.0,2290.0,4952.0,6160.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31025036078624,-58.21714055195018,1220.0,2428.0,5164.0,6264.0,-0.80371962614461,0.21127288168186484,1210.0,2578.0,5312.0,6244.0,1193.0,2290.0,4952.0,6160.0,1188.0,2136.0,4628.0,5660.0,1284.0,2544.0,5332.0,6424.0,1168.0,2142.0,4684.0,5840.0,1197.0,2114.0,4488.0,5624.0,1391.0,2848.0,5508.0,6440.0,1213.0,2504.0,5356.0,6480.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31016109033304,-58.21719586371857,1284.0,2544.0,5332.0,6424.0,-0.6527469732597834,0.23069987686672153,1391.0,2848.0,5508.0,6440.0,1213.0,2504.0,5356.0,6480.0,1220.0,2428.0,5164.0,6264.0,1378.0,2848.0,5384.0,6328.0,1210.0,2578.0,5312.0,6244.0,1193.0,2290.0,4952.0,6160.0,1690.0,3438.0,5796.0,6712.0,1238.0,2550.0,5296.0,6532.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31007181987229,-58.21725117419902,1378.0,2848.0,5384.0,6328.0,-0.5435888913547534,0.2086623418492848,1690.0,3438.0,5796.0,6712.0,1238.0,2550.0,5296.0,6532.0,1284.0,2544.0,5332.0,6424.0,1954.0,3754.0,6048.0,6932.0,1391.0,2848.0,5508.0,6440.0,1213.0,2504.0,5356.0,6480.0,3310.0,5176.0,7060.0,7812.0,1314.0,2520.0,4912.0,5992.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.31007922121302,-58.2179182280416,1690.0,3438.0,5796.0,6712.0,-0.540056273884154,0.20357049134850033,1540.0,3762.0,5920.0,7144.0,1378.0,2848.0,5384.0,6328.0,1391.0,2848.0,5508.0,6440.0,3310.0,5176.0,7060.0,7812.0,1316.0,3268.0,5696.0,6788.0,1284.0,2544.0,5332.0,6424.0,4416.0,5892.0,7372.0,7896.0,1954.0,3754.0,6048.0,6932.0,2019-06-22 19:49:09,2019-06-22 20:22:51
4.0,82.30998995065771,-58.21797352959192,3310.0,5176.0,7060.0,7812.0,-0.5480644747645411,0.1966905014464735,4416.0,5892.0,7372.0,7896.0,1954.0,3754.0,6048.0,6932.0,1690.0,3438.0,5796.0,6712.0,4788.0,6448.0,7952.0,8656.0,1540.0,3762.0,5920.0,7144.0,1378.0,2848.0,5384.0,6328.0,6044.0,7520.0,8440.0,8816.0,2428.0,4328.0,6420.0,7324.0,2019-06-22 19:49:09,2019-06-22 20:22:51
